title,subtitle,narrator,runtime,release,language,ratings,price,link
The Subtle Art of Not Giving a F*ck,A Counterintuitive Approach to Living a Good Life,Narrated by: Roger Wayne,Length: 5 hrs and 17 mins,Release date: 09-13-16,Language: English,"4.5 out of 5 stars
165,569 ratings",$17.92,https://www.audible.com/pd/The-Subtle-Art-of-Not-Giving-a-F-ck-Audiobook/B01I28NFEE?qid=1671624829&sr=1-15&ref=a_search_c3_lProduct_1_15&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=TSSCTRBYEFBSX1CWGXSC
How to Win Friends & Influence People,no subtitle,Narrated by: Andrew MacMillan,Length: 7 hrs and 15 mins,Release date: 09-16-04,Language: English,"4.5 out of 5 stars
95,351 ratings",$16.72,https://www.audible.com/pd/How-to-Win-Friends-Influence-People-Audiobook/B002V5BV96?qid=1671624829&sr=1-16&ref=a_search_c3_lProduct_1_16&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=TSSCTRBYEFBSX1CWGXSC
Adult Children of Emotionally Immature Parents,"How to Heal from Distant, Rejecting, or Self-Involved Parents",Narrated by: Marguerite Gavin,Length: 6 hrs and 50 mins,Release date: 05-10-16,Language: English,"5 out of 5 stars
5,226 ratings",$24.49,https://www.audible.com/pd/Adult-Children-of-Emotionally-Immature-Parents-Audiobook/B01F2M2GDO?qid=1671624829&sr=1-17&ref=a_search_c3_lProduct_1_17&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=TSSCTRBYEFBSX1CWGXSC
How to Talk to Anyone,92 Little Tricks for Big Success in Relationships,"Narrated by: Joyce Bean, Leil Lowndes",Length: 8 hrs and 59 mins,Release date: 09-01-15,Language: English,"4 out of 5 stars
11,609 ratings",$16.95,https://www.audible.com/pd/How-to-Talk-to-Anyone-Audiobook/B013F5WEZK?qid=1671624829&sr=1-18&ref=a_search_c3_lProduct_1_18&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=TSSCTRBYEFBSX1CWGXSC
Be It Until You Become It,The Law of Attraction Explained Through Neuroscience and Ancient Wisdom,Narrated by: Natasha Graziano,Length: 4 hrs and 47 mins,Release date: 11-16-22,Language: English,"5 out of 5 stars
6 ratings",$14.95,https://www.audible.com/pd/Be-It-Until-You-Become-It-Audiobook/B0BMKSLDSY?qid=1671624829&sr=1-19&ref=a_search_c3_lProduct_1_19&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=TSSCTRBYEFBSX1CWGXSC
The Seven Spiritual Laws of Success,no subtitle,Narrated by: Deepak Chopra,Length: 1 hr and 26 mins,Release date: 12-16-99,Language: English,"5 out of 5 stars
8,585 ratings",$8.37,https://www.audible.com/pd/The-Seven-Spiritual-Laws-of-Success-Audiobook/B002V1CEW8?qid=1671624829&sr=1-20&ref=a_search_c3_lProduct_1_20&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=TSSCTRBYEFBSX1CWGXSC
Divorcing a Narcissist,"The Lure, the Loss, and the Law",Narrated by: Supriya McKenna,Length: 14 hrs and 1 min,Release date: 08-29-22,Language: English,"5 out of 5 stars
10 ratings",$24.95,https://www.audible.com/pd/Divorcing-a-Narcissist-Audiobook/B0BC9NXBHZ?qid=1671624842&sr=1-21&ref=a_search_c3_lProduct_2_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=HRWNA282XVA95N560EB9
The Whole-Brain Child,12 Revolutionary Strategies to Nurture Your Child's Developing Mind,"Narrated by: Daniel J. Siegel, Tina Payne Bryson",Length: 6 hrs and 14 mins,Release date: 12-06-22,Language: English,"4.5 out of 5 stars
7 ratings",$28.00,https://www.audible.com/pd/The-Whole-Brain-Child-Audiobook/B0B94L8SKH?qid=1671624842&sr=1-22&ref=a_search_c3_lProduct_2_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=HRWNA282XVA95N560EB9
The Universe Has Your Back,Transform Fear into Faith,Narrated by: Gabrielle Bernstein,Length: 4 hrs and 30 mins,Release date: 09-27-16,Language: English,"4.5 out of 5 stars
13,690 ratings",$17.49,https://www.audible.com/pd/The-Universe-Has-Your-Back-Audiobook/B01LYHNRUV?qid=1671624842&sr=1-23&ref=a_search_c3_lProduct_2_3&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=HRWNA282XVA95N560EB9
Untangled,Guiding Teenage Girls Through the Seven Transitions into Adulthood,Narrated by: Lisa Damour,Length: 8 hrs and 37 mins,Release date: 02-09-16,Language: English,"5 out of 5 stars
3,534 ratings",$18.49,https://www.audible.com/pd/Untangled-Audiobook/B01A7PZ868?qid=1671624842&sr=1-24&ref=a_search_c3_lProduct_2_4&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=HRWNA282XVA95N560EB9
The Power of Habit,Why We Do What We Do in Life and Business,Narrated by: Mike Chamberlain,Length: 10 hrs and 53 mins,Release date: 02-28-12,Language: English,"4.5 out of 5 stars
67,459 ratings",$16.72,https://www.audible.com/pd/The-Power-of-Habit-Audiobook/B007C64916?qid=1671624842&sr=1-25&ref=a_search_c3_lProduct_2_5&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=HRWNA282XVA95N560EB9
A New Earth,Awakening Your Life's Purpose,Narrated by: Eckhart Tolle,Length: 9 hrs and 12 mins,Release date: 12-26-04,Language: English,"5 out of 5 stars
19,098 ratings",$14.95,https://www.audible.com/pd/A-New-Earth-Audiobook/B002V0RAUU?qid=1671624842&sr=1-26&ref=a_search_c3_lProduct_2_6&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=HRWNA282XVA95N560EB9
The Purpose Driven Life,What on Earth Am I Here For?,Narrated by: Rick Warren,Length: 9 hrs and 38 mins,Release date: 11-06-12,Language: English,"4.5 out of 5 stars
4,988 ratings",$22.14,https://www.audible.com/pd/The-Purpose-Driven-Life-Audiobook/B00A27D4PE?qid=1671624842&sr=1-27&ref=a_search_c3_lProduct_2_7&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=HRWNA282XVA95N560EB9
Mastery,no subtitle,Narrated by: Fred Sanders,Length: 16 hrs and 9 mins,Release date: 11-13-12,Language: English,"4.5 out of 5 stars
11,981 ratings",$16.49,https://www.audible.com/pd/Mastery-Audiobook/B00A4OPH0U?qid=1671624842&sr=1-28&ref=a_search_c3_lProduct_2_8&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=HRWNA282XVA95N560EB9
Discipline Is Destiny,The Power of Self-Control,Narrated by: Ryan Holiday,Length: 7 hrs and 17 mins,Release date: 09-27-22,Language: English,"5 out of 5 stars
2,572 ratings",$28.00,https://www.audible.com/pd/Discipline-Is-Destiny-Audiobook/B09SKSKTQP?qid=1671624842&sr=1-29&ref=a_search_c3_lProduct_2_9&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=HRWNA282XVA95N560EB9
How to Meet Your Self,The Workbook for Self-Discovery,Narrated by: Courtney Patterson,Length: 5 hrs and 49 mins,Release date: 12-06-22,Language: English,"4.5 out of 5 stars
17 ratings",$31.93,https://www.audible.com/pd/How-to-Meet-Your-Self-Audiobook/B09VQ3Z52T?qid=1671624842&sr=1-30&ref=a_search_c3_lProduct_2_10&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=HRWNA282XVA95N560EB9
Codependent No More,How to Stop Controlling Others and Start Caring for Yourself,Narrated by: Melody Beattie,Length: 8 hrs and 42 mins,Release date: 09-01-22,Language: English,"4.5 out of 5 stars
320 ratings",$17.49,https://www.audible.com/pd/Codependent-No-More-Audiobook/B0B621BWPR?qid=1671624842&sr=1-31&ref=a_search_c3_lProduct_2_11&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=HRWNA282XVA95N560EB9
"Strong Fathers, Strong Daughters",no subtitle,Narrated by: Coleen Marlo,Length: 7 hrs and 4 mins,Release date: 01-05-16,Language: English,"4.5 out of 5 stars
3,085 ratings",$19.95,https://www.audible.com/pd/Strong-Fathers-Strong-Daughters-Audiobook/B017V4WD66?qid=1671624842&sr=1-32&ref=a_search_c3_lProduct_2_12&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=HRWNA282XVA95N560EB9
As a Man Thinketh,no subtitle,Narrated by: Brian Holsopple,Length: 55 mins,Release date: 12-29-13,Language: English,"5 out of 5 stars
10,205 ratings",$3.95,https://www.audible.com/pd/As-a-Man-Thinketh-Audiobook/B00J5SHJMK?qid=1671624842&sr=1-33&ref=a_search_c3_lProduct_2_13&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=HRWNA282XVA95N560EB9
Silva Mind Control Method,The Revolutionary Program by the Founder of the World's Most Famous Mind Control Course,"Narrated by: Gary Tiedemann, Zac Aleman",Length: 5 hrs and 56 mins,Release date: 04-19-22,Language: English,"4.5 out of 5 stars
616 ratings",$13.95,https://www.audible.com/pd/Silva-Mind-Control-Method-Audiobook/B09PFFC6LB?qid=1671624842&sr=1-34&ref=a_search_c3_lProduct_2_14&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=HRWNA282XVA95N560EB9
The Power of Your Subconscious Mind,Updated,Narrated by: Jason Culp,Length: 6 hrs and 58 mins,Release date: 12-24-09,Language: English,"4.5 out of 5 stars
4,745 ratings",$14.74,https://www.audible.com/pd/The-Power-of-Your-Subconscious-Mind-Audiobook/B002ZF36FY?qid=1671624842&sr=1-35&ref=a_search_c3_lProduct_2_15&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=HRWNA282XVA95N560EB9
What Every BODY Is Saying,An Ex-FBI Agent’s Guide to Speed-Reading People,Narrated by: Paul Costanzo,Length: 7 hrs and 19 mins,Release date: 01-19-12,Language: English,"4.5 out of 5 stars
7,003 ratings",$14.99,https://www.audible.com/pd/What-Every-BODY-Is-Saying-Audiobook/B006ZAR44Y?qid=1671624842&sr=1-36&ref=a_search_c3_lProduct_2_16&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=HRWNA282XVA95N560EB9
Pre-Suasion,Channeling Attention for Change,Narrated by: John Bedford Lloyd,Length: 9 hrs and 24 mins,Release date: 09-06-16,Language: English,"4.5 out of 5 stars
4,779 ratings",$15.49,https://www.audible.com/pd/Pre-Suasion-Audiobook/B01JB2JQE8?qid=1671624842&sr=1-37&ref=a_search_c3_lProduct_2_17&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=HRWNA282XVA95N560EB9
The Empath's Survival Guide,Life Strategies for Sensitive People,Narrated by: Pam Tierney,Length: 7 hrs and 15 mins,Release date: 04-04-17,Language: English,"4.5 out of 5 stars
1,455 ratings",$14.68,https://www.audible.com/pd/The-Empaths-Survival-Guide-Audiobook/B06XW2WQ55?qid=1671624842&sr=1-38&ref=a_search_c3_lProduct_2_18&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=HRWNA282XVA95N560EB9
Built to Sell,Creating a Business That Can Thrive Without You,Narrated by: Erik Synnestvedt,Length: 4 hrs and 24 mins,Release date: 05-12-11,Language: English,"4.5 out of 5 stars
2,303 ratings",$20.99,https://www.audible.com/pd/Built-to-Sell-Audiobook/B0050DLDEE?qid=1671624842&sr=1-39&ref=a_search_c3_lProduct_2_19&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=HRWNA282XVA95N560EB9
The Road Less Traveled,"A New Psychology of Love, Values, and Spiritual Growth, 25th Anniversary Edition",Narrated by: M. Scott Peck M.D.,Length: 4 hrs and 23 mins,Release date: 10-25-02,Language: English,"4.5 out of 5 stars
4,388 ratings",$12.99,https://www.audible.com/pd/The-Road-Less-Traveled-Audiobook/B002UZJQXA?qid=1671624842&sr=1-40&ref=a_search_c3_lProduct_2_20&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=HRWNA282XVA95N560EB9
The Science of Getting Rich,no subtitle,Narrated by: Jim Roberts,Length: 2 hrs and 28 mins,Release date: 03-17-09,Language: English,"4.5 out of 5 stars
4,073 ratings",$9.95,https://www.audible.com/pd/The-Science-of-Getting-Rich-Audiobook/B002V0TKP8?qid=1671624850&sr=1-41&ref=a_search_c3_lProduct_3_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=C6PE4H3BNSKE2G2NQJGR
The Success Principles(TM) - 10th Anniversary Edition,How to Get from Where You Are to Where You Want to Be,Narrated by: Danny Campbell,Length: 21 hrs and 46 mins,Release date: 01-27-15,Language: English,"5 out of 5 stars
3,362 ratings",$32.99,https://www.audible.com/pd/The-Success-PrinciplesTM-10th-Anniversary-Edition-Audiobook/B00RAXFZIC?qid=1671624850&sr=1-42&ref=a_search_c3_lProduct_3_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=C6PE4H3BNSKE2G2NQJGR
The Life-Changing Magic of Tidying Up,The Japanese Art of Decluttering and Organizing,Narrated by: Emily Woo Zeller,Length: 4 hrs and 50 mins,Release date: 01-06-15,Language: English,"4.5 out of 5 stars
31,656 ratings",$25.19,https://www.audible.com/pd/The-Life-Changing-Magic-of-Tidying-Up-Audiobook/B00RC3M6OG?qid=1671624850&sr=1-43&ref=a_search_c3_lProduct_3_3&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=C6PE4H3BNSKE2G2NQJGR
The Code of the Extraordinary Mind,10 Unconventional Laws to Redefine Your Life and Succeed on Your Own Terms,Narrated by: Vishen Lakhiani,Length: 9 hrs,Release date: 05-10-16,Language: English,"4.5 out of 5 stars
4,582 ratings",$14.95,https://www.audible.com/pd/The-Code-of-the-Extraordinary-Mind-Audiobook/B01DFKNHI8?qid=1671624850&sr=1-44&ref=a_search_c3_lProduct_3_4&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=C6PE4H3BNSKE2G2NQJGR
The Art of Seduction,An Indispensible Primer on the Ultimate Form of Power,Narrated by: Jeff David,Length: 5 hrs and 9 mins,Release date: 07-19-02,Language: English,"4 out of 5 stars
3,886 ratings",$18.86,https://www.audible.com/pd/The-Art-of-Seduction-Audiobook/B002UUKHII?qid=1671624850&sr=1-45&ref=a_search_c3_lProduct_3_5&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=C6PE4H3BNSKE2G2NQJGR
Essentialism,The Disciplined Pursuit of Less,Narrated by: Greg McKeown,Length: 6 hrs and 14 mins,Release date: 04-15-14,Language: English,"4.5 out of 5 stars
19,301 ratings",$9.74,https://www.audible.com/pd/Essentialism-Audiobook/B00IWZ6XGA?qid=1671624850&sr=1-46&ref=a_search_c3_lProduct_3_6&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=C6PE4H3BNSKE2G2NQJGR
Raising Men,Lessons Navy SEALs Learned from Their Training and Taught to Their Sons,Narrated by: Peter Berkrot,Length: 6 hrs and 41 mins,Release date: 05-03-16,Language: English,"4.5 out of 5 stars
5,302 ratings",$14.95,https://www.audible.com/pd/Raising-Men-Audiobook/B01EX8O5UK?qid=1671624850&sr=1-47&ref=a_search_c3_lProduct_3_7&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=C6PE4H3BNSKE2G2NQJGR
Psycho-Cybernetics,Updated and Expanded,Narrated by: Matt Furey,Length: 12 hrs and 16 mins,Release date: 04-11-17,Language: English,"5 out of 5 stars
3,204 ratings",$17.92,https://www.audible.com/pd/Psycho-Cybernetics-Audiobook/B06XR2PJWC?qid=1671624850&sr=1-48&ref=a_search_c3_lProduct_3_8&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=C6PE4H3BNSKE2G2NQJGR
"The Go-Giver, Expanded Edition",A Little Story About a Powerful Business Idea,"Narrated by: Bob Burg, John David Mann",Length: 2 hrs and 54 mins,Release date: 12-28-14,Language: English,"5 out of 5 stars
7,192 ratings",$13.29,https://www.audible.com/pd/The-Go-Giver-Expanded-Edition-Audiobook/B0168Y78NI?qid=1671624850&sr=1-49&ref=a_search_c3_lProduct_3_9&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=C6PE4H3BNSKE2G2NQJGR
It Didn't Start with You,How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,Narrated by: Mark Wolynn,Length: 8 hrs and 16 mins,Release date: 04-26-16,Language: English,"4.5 out of 5 stars
2,040 ratings",$16.72,https://www.audible.com/pd/It-Didnt-Start-with-You-Audiobook/B01ELP3JV6?qid=1671624850&sr=1-50&ref=a_search_c3_lProduct_3_10&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=C6PE4H3BNSKE2G2NQJGR
Blink,The Power of Thinking Without Thinking,Narrated by: Malcolm Gladwell,Length: 7 hrs and 44 mins,Release date: 04-05-05,Language: English,"4.5 out of 5 stars
25,646 ratings",$19.92,https://www.audible.com/pd/Blink-Audiobook/B002VAEK3K?qid=1671624850&sr=1-51&ref=a_search_c3_lProduct_3_11&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=C6PE4H3BNSKE2G2NQJGR
"Act like a Lady, Think like a Man","What Men Really Think About Love, Relationships, Intimacy, and Commitment",Narrated by: Mike Hodge,Length: 6 hrs and 5 mins,Release date: 05-12-15,Language: English,"4.5 out of 5 stars
5,499 ratings",$20.90,https://www.audible.com/pd/Act-like-a-Lady-Think-like-a-Man-Audiobook/B00LNHQ7EC?qid=1671624850&sr=1-52&ref=a_search_c3_lProduct_3_12&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=C6PE4H3BNSKE2G2NQJGR
Love and Respect,The Love She Most Desires; the Respect He Desperately Needs,Narrated by: Dr. Emerson Eggerichs,Length: 8 hrs and 47 mins,Release date: 02-23-16,Language: English,"5 out of 5 stars
5,702 ratings",$26.90,https://www.audible.com/pd/Love-and-Respect-Audiobook/B01BYISTEA?qid=1671624850&sr=1-53&ref=a_search_c3_lProduct_3_13&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=C6PE4H3BNSKE2G2NQJGR
Emotional Intelligence,no subtitle,Narrated by: Barrett Whitener,Length: 13 hrs and 32 mins,Release date: 12-30-01,Language: English,"4 out of 5 stars
3,422 ratings",$14.95,https://www.audible.com/pd/Emotional-Intelligence-Audiobook/B002VA9U0S?qid=1671624850&sr=1-54&ref=a_search_c3_lProduct_3_14&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=C6PE4H3BNSKE2G2NQJGR
Trump: The Art of the Deal,no subtitle,"Narrated by: Kaleo Griffith, Donald J. Trump",Length: 9 hrs and 59 mins,Release date: 05-31-16,Language: English,"4.5 out of 5 stars
11,587 ratings",$18.49,https://www.audible.com/pd/Trump-The-Art-of-the-Deal-Audiobook/B01FY3KMKK?qid=1671624850&sr=1-55&ref=a_search_c3_lProduct_3_15&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=C6PE4H3BNSKE2G2NQJGR
The State of Affairs,Rethinking Infidelity,Narrated by: Esther Perel,Length: 11 hrs and 57 mins,Release date: 10-10-17,Language: English,"5 out of 5 stars
4,164 ratings",$14.00,https://www.audible.com/pd/The-State-of-Affairs-Audiobook/B072WBLT3K?qid=1671624850&sr=1-56&ref=a_search_c3_lProduct_3_16&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=C6PE4H3BNSKE2G2NQJGR
More Than Two,A Practical Guide to Ethical Polyamory,Narrated by: Craig Beck,Length: 15 hrs and 47 mins,Release date: 05-04-22,Language: English,"4.5 out of 5 stars
64 ratings",$20.97,https://www.audible.com/pd/More-Than-Two-Audiobook/B09X2828PD?qid=1671624850&sr=1-57&ref=a_search_c3_lProduct_3_17&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=C6PE4H3BNSKE2G2NQJGR
The Easy Way to Stop Smoking,no subtitle,Narrated by: Duncan Wells,Length: 5 hrs and 59 mins,Release date: 12-29-13,Language: English,"5 out of 5 stars
3,293 ratings",$19.62,https://www.audible.com/pd/The-Easy-Way-to-Stop-Smoking-Audiobook/B00P9U0L5K?qid=1671624850&sr=1-58&ref=a_search_c3_lProduct_3_18&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=C6PE4H3BNSKE2G2NQJGR
It's Your Ship,Management Techniques from the Best Damn Ship in the Navy,Narrated by: D. Michael Abrashoff,Length: 6 hrs and 24 mins,Release date: 10-09-12,Language: English,"5 out of 5 stars
4,765 ratings",$14.95,https://www.audible.com/pd/Its-Your-Ship-Audiobook/B009K9YNI2?qid=1671624850&sr=1-59&ref=a_search_c3_lProduct_3_19&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=C6PE4H3BNSKE2G2NQJGR
